Location,Latitude,Longitude,Vegetation_Type,Biodiversity_Index,Protected_Area,Elevation_m,Slope_Degree,Soil_Type,Air_Quality_Index,Average_Temperature_C,Flood_Risk,Tourist_Attractions,Accessibility_Score,Tourist_Capacity_Limit,Climate_Risk_Score
Site 2062,30.500105950813268,-93.5838657627837,Forest,0.5309855034897051,False,3131,29,Clay,50,19.765217454745773,Low,2,3,133,0.2649070144642493
Site 2063,42.25614468931358,-82.6034350651449,Wetland,0.7341442838364339,False,1415,26,Rocky,135,21.072271212971884,Moderate,2,3,805,0.3409666262989471
Site 2064,28.36959510387832,-75.50388839568356,Wetland,0.9138355677845971,True,811,48,Clay,57,4.4006215866692635,Low,2,7,162,0.8980549191904392
Site 2065,12.078263102170737,-120.82897669446741,Forest,0.7256076566391981,True,3882,39,Sandy,84,27.747517309929478,Low,9,2,725,0.5327230498053585
Site 2066,41.451127975361324,-87.93299635017519,Grassland,0.5745448743841239,True,389,13,Loam,68,6.982884734243044,Low,5,8,418,0.9221528962947759
Site 2067,18.054551285438976,-127.59914690876818,Mountain,0.9925169225029798,True,1235,44,Clay,7,25.882008741858577,High,3,1,676,0.14270491048732672
Site 2068,20.34483339552155,-95.17037416278919,Mountain,0.9446427310371317,True,2714,46,Loam,53,24.312375592320628,Moderate,6,8,153,0.10590748634450581
Site 2069,16.588254137291834,-119.16101228658408,Grassland,0.885656816612507,False,1708,10,Loam,143,-5.026760984862864,Low,9,9,229,0.9534219586347925
Site 2070,23.2086025948599,-117.19539518265407,Forest,0.7057558014496053,False,3606,46,Sandy,131,28.650822383664703,Moderate,9,5,338,0.7515252160307067
Site 2071,40.2700602275454,-104.4466703315179,Mountain,0.591922863444649,True,3311,43,Sandy,58,29.853667415334805,High,9,4,497,0.8049851183922876
Site 2072,30.775434380157492,-99.7293983298448,Grassland,0.9707055907092506,False,3559,25,Loam,93,14.245860669160027,Low,4,6,281,0.9242250526915106
Site 2073,18.195250966028503,-86.37793028274689,Grassland,0.7661755632585695,False,1744,20,Loam,45,21.324402034397924,Low,5,6,374,0.9860848230686463
Site 2074,45.113203126081636,-124.7900107093039,Grassland,0.9261777301937426,True,1145,8,Rocky,93,27.347481502072654,Low,1,8,401,0.1879409511207728
Site 2075,45.18327419806117,-94.74157671337888,Mountain,0.6710475028797129,False,3324,46,Rocky,98,-9.1990243812148,Moderate,6,8,719,0.2424622097098954
Site 2076,44.82313700184028,-117.21624088228292,Mountain,0.6676441585397352,True,2188,0,Sandy,12,27.19960097191926,Moderate,2,1,657,0.26971610405843033
Site 2077,19.55184845526157,-89.82173774777806,Mountain,0.9927702403370195,False,1475,43,Clay,36,15.094645510364316,Low,7,9,280,0.8365758929069803
Site 2078,28.049573767239522,-85.38167714171715,Mountain,0.760916524247425,False,3923,5,Loam,74,23.13825601477133,Moderate,4,1,373,0.41999492187932286
Site 2079,49.39958624563501,-91.03035204130023,Wetland,0.5703477119303731,False,2921,0,Clay,57,11.62889092079493,Moderate,4,3,839,0.6339443025096421
Site 2080,40.880499052399614,-78.31931426651846,Grassland,0.6098373389973537,False,1855,21,Loam,18,11.221841575740655,Low,9,7,876,0.8696997208013326
Site 2081,11.086696849022392,-106.5073529031369,Wetland,0.7409721396963604,False,3224,12,Sandy,145,25.900728229784406,Low,1,5,313,0.7148438557790529
Site 2082,12.608183650419683,-76.44253858568084,Grassland,0.5212354552442057,True,3964,37,Clay,144,10.298880259391016,Low,6,6,499,0.15887385457614916
Site 2083,28.557255072493312,-99.70630428042645,Mountain,0.7312669926891502,False,1749,48,Sandy,138,8.871575244831828,High,2,8,598,0.5011064710523411
Site 2084,46.368808234462406,-96.10708511741822,Mountain,0.7094704210400637,True,3379,44,Loam,142,14.327552337135657,Low,6,4,660,0.1607500464465594
Site 2085,31.54807191810857,-84.632851091725,Wetland,0.8896681326597435,False,1583,40,Sandy,107,10.742799246494329,Low,7,4,790,0.5309591902170032
Site 2086,29.91250032137161,-128.71491312005432,Forest,0.6774709822446209,False,3388,39,Clay,144,7.85147824553809,Low,3,8,361,0.29737244385370054
Site 2087,14.218947998265223,-84.22040450058262,Mountain,0.9912743807697997,False,3600,30,Rocky,89,-2.7790468708881866,Low,4,3,238,0.10117737957258718
Site 2088,36.271204188971765,-86.69903956495193,Forest,0.5903849596504516,True,1319,14,Sandy,119,5.896019485325388,Low,2,6,647,0.8318366126128405
Site 2089,42.88412642400902,-108.3107018272704,Grassland,0.7954933424840674,False,842,49,Clay,4,1.2818280333737562,Low,7,4,114,0.9724445599625736
Site 2090,25.216800300302495,-123.99440005703573,Wetland,0.5448496485041273,False,3416,1,Sandy,131,6.018589060606811,Low,9,6,664,0.967719413593824
Site 2091,41.0244740370131,-123.63451850608712,Forest,0.866931991996991,True,1604,30,Sandy,55,13.72633181251937,Low,5,4,475,0.36926667438699134
Site 2092,48.57906615603247,-65.374337711034,Forest,0.9973768440309858,True,2644,25,Rocky,103,14.354069483896424,High,5,2,673,0.8458962490565589
Site 2093,18.150658365107564,-81.75044751419139,Mountain,0.909569318875816,True,1305,1,Clay,47,-0.45354086829165396,Moderate,9,3,402,0.7108992112734258
Site 2094,30.933185247789652,-121.10281703604818,Forest,0.7778517703601506,False,3279,10,Clay,47,-6.620854135361376,High,8,8,994,0.8200687512694028
Site 2095,21.485518323383022,-105.02937814837655,Forest,0.7423706786998461,False,951,32,Clay,108,19.777507561366537,High,1,1,629,0.8616142434362742
Site 2096,41.71417676135357,-88.52619042688825,Grassland,0.9175149806334235,False,551,17,Loam,99,11.142827709857134,Low,2,6,186,0.982250865146199
Site 2097,33.1037346352463,-71.50998064365459,Wetland,0.9679870423553621,False,2004,20,Sandy,20,7.684053985479853,Low,7,9,185,0.23655667390034008
Site 2098,35.383296702012146,-126.9437349900894,Mountain,0.9946032628990464,True,1119,30,Rocky,101,-4.816181247818299,Low,3,1,363,0.7927714215858718
Site 2099,41.916566384635765,-113.43568079709938,Mountain,0.6982696137822421,True,3523,25,Clay,4,6.586550037875291,Low,6,4,775,0.7607382436738038
Site 2100,25.838818906498197,-67.7175706793234,Forest,0.9954587373972561,False,2021,29,Rocky,148,22.727016664821974,Moderate,1,7,546,0.35896225391966563
Site 2101,46.60360273628173,-129.35841148713286,Grassland,0.5779631260869158,True,3833,38,Loam,88,13.257425178582174,Moderate,8,6,923,0.4533288002231036
Site 2102,31.3211546898456,-115.90206280442789,Forest,0.6267748879659546,True,2420,20,Loam,73,-6.360979490563423,High,2,6,802,0.25908224290704374
Site 2103,16.31819291341392,-62.86830768189239,Forest,0.544508062366948,True,2695,48,Rocky,121,3.2910053250943783,Moderate,1,9,359,0.9219458737771903
Site 2104,37.835964726752096,-87.06187074344803,Mountain,0.6358692582422408,False,1096,15,Clay,145,29.192081036543456,High,2,8,646,0.8914021523193443
Site 2105,41.73045401753018,-111.68300433537455,Forest,0.8839687758090056,True,1836,6,Rocky,57,11.780298856082915,Low,8,5,609,0.6526315131412797
Site 2106,22.670467082701066,-125.31062339229067,Forest,0.9264621790892249,False,1808,21,Clay,97,1.4558431838360963,High,5,2,487,0.5604669998962358
Site 2107,44.28717027995012,-128.02660616869446,Grassland,0.8894463225512859,False,1704,6,Clay,78,26.53778984807682,High,9,3,410,0.30959952434510385
Site 2108,46.24573019063065,-112.86784442541509,Mountain,0.8155328890838481,False,2380,1,Loam,4,3.4400253601355413,Moderate,3,3,205,0.8106432013269707
Site 2109,21.076179495112356,-68.29599262877628,Wetland,0.7569832562613228,True,2440,36,Rocky,126,19.196293379965937,High,8,4,662,0.1073844210883529
Site 2110,49.34085890860888,-100.88604419917434,Grassland,0.8543521446068232,True,3781,13,Loam,95,-4.111179771275215,Low,4,2,415,0.5165080224148433
Site 2111,15.628461121950338,-79.57666415838048,Grassland,0.6954167746336108,True,3930,7,Sandy,132,-3.7402754360423973,Low,7,8,130,0.8744960594137212
Site 2112,18.0806267360996,-65.72004752340295,Grassland,0.920654175749851,True,3177,28,Loam,121,12.452560813154218,Low,8,8,689,0.6566368009894777
Site 2113,17.368993569521045,-101.43716768780284,Mountain,0.8385950469883927,False,1124,43,Clay,97,-0.40706725699863355,Low,3,8,720,0.671610557414466
Site 2114,45.75958840031482,-116.6105840273822,Forest,0.8489023492472043,False,1382,6,Rocky,134,-8.026716538866093,Moderate,3,5,286,0.1636366830574998
Site 2115,36.17170209299847,-93.80174484001563,Wetland,0.7679679965645356,False,1770,37,Sandy,89,27.05861759902669,High,1,6,446,0.3580342565013147
Site 2116,16.084171328890914,-66.4341419058102,Mountain,0.9426144921055863,True,3863,44,Sandy,128,-7.760418055416669,High,8,6,108,0.7064759850365637
Site 2117,27.61293673473396,-73.69379101036095,Forest,0.6260073668395263,True,3400,21,Sandy,51,18.69751546782661,High,2,7,286,0.14465557112777447
Site 2118,34.61192100279208,-125.39191096457924,Grassland,0.6905738266805254,True,3960,43,Sandy,97,3.3194329078983884,High,7,1,559,0.3978421781370711
Site 2119,13.338563399575332,-81.51990399456928,Mountain,0.8888212848388446,False,1641,16,Rocky,25,27.340198604412386,Low,7,3,387,0.4185501072038824
Site 2120,45.29665473629355,-89.96717342787323,Forest,0.7463744480646688,False,2442,15,Clay,120,29.442095566937077,Moderate,7,3,521,0.5488465501308192
Site 2121,42.14414141766141,-66.47757765575022,Wetland,0.9446070067120954,True,34,32,Sandy,11,3.417226053242647,High,4,7,464,0.42613772714619735
Site 2122,30.20827094306553,-121.4263008204792,Wetland,0.6731996598814262,False,2204,38,Clay,69,13.64427278413848,High,7,6,338,0.5087057837175128
Site 2123,48.685064610366815,-92.61747207567404,Forest,0.6846650844098223,False,903,34,Loam,83,20.919390182838068,Moderate,8,9,423,0.5922976118010425
Site 2124,26.710439171003987,-68.43761145416754,Mountain,0.9443678946933127,True,3344,37,Clay,18,-5.063626000668586,High,9,9,358,0.2155130573828834
Site 2125,49.36441276145991,-101.29833492807799,Grassland,0.7321851600910205,True,3014,31,Sandy,131,18.37849215491664,Moderate,7,9,656,0.2624278732065974
Site 2126,36.71679995214508,-96.2603557586993,Forest,0.7580622921012434,False,395,2,Loam,95,26.247899376626428,High,6,4,171,0.8492598949201101
Site 2127,35.38685093015766,-125.06775256331292,Grassland,0.6663818576678397,True,3823,2,Loam,4,-2.859898109119019,Moderate,5,3,396,0.5137911482228178
Site 2128,16.6381958118314,-110.52994516857623,Wetland,0.638334971089541,False,206,7,Loam,120,23.548403653133995,High,7,4,682,0.4196368664617992
Site 2129,45.27711033218576,-107.28453455817369,Forest,0.8279743554191961,True,1780,45,Sandy,127,-5.375861093162522,Low,2,3,85,0.4904933627635113
Site 2130,27.099587516824606,-63.84142858785792,Wetland,0.559920330770602,False,1628,30,Clay,53,12.73206786169078,High,5,7,774,0.2573366975307964
Site 2131,16.489336231299173,-110.21328476211886,Grassland,0.9396363205914546,True,2668,8,Rocky,17,3.5745467711919474,Low,8,3,502,0.31586252927733904
Site 2132,10.50430079903036,-97.73918853112437,Grassland,0.889601568382554,True,1329,4,Clay,63,8.868634422914994,Moderate,6,1,508,0.563971188309881
Site 2133,32.3902273455353,-83.00869035050042,Forest,0.5953741318529013,True,1649,27,Sandy,137,2.0252873841786787,Low,6,8,275,0.42303384667131805
Site 2134,31.095984884907054,-118.64716393144859,Forest,0.8470099729122826,False,1559,14,Sandy,22,0.42157486453870163,High,1,6,940,0.5279104927046901
Site 2135,38.774144894766344,-95.94903290006879,Forest,0.8013164606428174,False,804,48,Loam,119,19.72556759630946,Low,2,5,851,0.2347342055393854
Site 2136,45.610322120712084,-78.30226723668648,Wetland,0.5922675253683221,True,2509,26,Clay,114,-1.0754714095556572,Low,3,8,426,0.24082149909072864
Site 2137,13.176263385721182,-69.32013508810539,Grassland,0.6366017530251162,False,251,41,Sandy,81,6.336521766811426,High,7,8,622,0.44554871766936655
Site 2138,39.259859613614495,-86.16185077363014,Grassland,0.7044932518669171,False,1290,30,Sandy,95,0.9822831726731085,Moderate,6,3,237,0.4409718694258571
Site 2139,17.49647776390329,-83.16625392781364,Wetland,0.8496213676227369,True,2914,39,Rocky,25,-0.4545966352731323,Low,5,3,801,0.8949991091723082
Site 2140,44.327082126286555,-121.16015691908018,Forest,0.819361704408503,True,208,17,Clay,98,15.083844440828827,High,9,7,52,0.13010624266493565
Site 2141,42.76254055446624,-63.7956451927557,Mountain,0.766117423838349,True,954,37,Loam,65,-8.182855349679098,Low,7,3,55,0.993569897487289
Site 2142,31.631750199421774,-120.71981457608624,Forest,0.8842052715570171,False,3638,48,Loam,103,21.555949480148342,Moderate,9,9,453,0.9608707533038517
Site 2143,38.40971194493246,-75.77289439727411,Mountain,0.878968869803083,True,2586,3,Loam,140,11.849362558135525,Moderate,3,8,821,0.5880258555921969
Site 2144,22.574004527349935,-111.46285747551768,Mountain,0.808929577031128,False,2027,20,Clay,4,23.137495844293568,Moderate,8,8,662,0.7468819857595246
Site 2145,28.846715957312586,-64.6484799409124,Wetland,0.8934950416924126,False,834,46,Sandy,18,-1.4793606640748749,Low,9,9,358,0.9417291917335706
Site 2146,42.865475908418865,-79.60283224413644,Grassland,0.6671316873896046,False,2550,41,Sandy,19,18.376241633622232,High,2,8,408,0.32607451526822845
Site 2147,28.370607886928557,-77.23304009151417,Grassland,0.9406247641613028,True,955,22,Rocky,149,6.823353657272836,Moderate,4,4,888,0.38406754725769765
Site 2148,24.311930613017672,-114.66585788580817,Grassland,0.8074550429009704,True,513,44,Rocky,30,-6.927840913371881,High,2,7,557,0.19983221505830423
Site 2149,29.768497890011997,-98.98720163553874,Grassland,0.9111817569062153,False,579,21,Sandy,104,20.09905568849327,Moderate,7,6,514,0.6074615055925491
Site 2150,43.12997009748874,-86.75307637874995,Wetland,0.773139552395142,False,1937,0,Sandy,43,20.487489415977933,Low,4,1,727,0.24350353810347047
Site 2151,23.40832189483491,-76.10184672553794,Mountain,0.6092191224943402,True,1171,24,Clay,100,0.8366746356193886,Low,6,5,725,0.937783554757619
Site 2152,16.950463725429753,-122.72284368613273,Grassland,0.7712050643391544,True,3902,40,Rocky,88,26.64184075832469,Moderate,8,2,851,0.4884101623953542
Site 2153,38.48056081323123,-62.63442784818301,Mountain,0.685555831888294,True,1997,27,Loam,48,20.558791870668994,High,6,9,567,0.9277180535806082
Site 2154,43.03912850832327,-67.68455306118108,Wetland,0.8487495180185473,True,2887,36,Loam,58,2.2702947649355742,High,4,3,433,0.2845899114706666
Site 2155,14.025499140941333,-111.07559866530909,Forest,0.737896895867368,True,1665,10,Loam,131,-0.4356423037836521,Moderate,6,7,963,0.7246328270376982
Site 2156,19.594964510237787,-72.40678298773676,Wetland,0.9180564024638438,True,3033,21,Loam,116,7.603582228553169,Low,1,2,539,0.6828328702482676
Site 2157,15.678879590439756,-93.71732538721236,Grassland,0.8390362561609583,True,2130,24,Sandy,134,1.7115925911164531,High,6,7,588,0.4597081124057456
Site 2158,23.917656463286665,-97.67354629065869,Forest,0.842272216515662,True,3113,20,Sandy,88,-1.3190778434197057,High,8,4,600,0.9085088143953335
Site 2159,28.014039156216505,-107.98961259320163,Wetland,0.6085776667455325,True,2203,35,Clay,14,5.964030289009571,Low,4,6,538,0.4913218458300307
Site 2160,39.953053478532254,-89.33219893578853,Wetland,0.9921248832456452,False,3740,19,Loam,6,-8.97183108694604,High,9,9,356,0.27858747741806567
Site 2161,36.04590339526696,-78.90776176074816,Mountain,0.9208376046357444,True,2500,15,Sandy,115,6.056442827255275,Moderate,6,8,324,0.9792868430316664
Site 2162,34.837142699137246,-101.23469665260691,Wetland,0.8945024422803474,True,1642,27,Sandy,97,-1.133494871307935,Low,6,9,657,0.4973332626987029
Site 2163,24.094997864386176,-85.95465648941956,Forest,0.6651076125800137,False,3355,28,Sandy,117,0.5733674790393763,Moderate,4,5,905,0.2872656799099613
Site 2164,43.6579021233904,-81.04809551912874,Wetland,0.7678158264236159,True,1211,49,Loam,107,-6.697868550711745,Low,8,5,211,0.4272693944332858
Site 2165,28.85148669592658,-80.22147280892999,Grassland,0.5685515940371644,True,616,25,Sandy,105,13.557267345424869,Moderate,5,4,650,0.6521585108834682
Site 2166,49.16419752060618,-126.36237313081739,Mountain,0.7692379883313529,False,2671,39,Rocky,146,8.880369102905444,Moderate,1,9,296,0.5608247820502352
Site 2167,35.36568553182947,-69.81765360204531,Forest,0.5729446232416436,True,1497,1,Loam,46,20.025095115591157,Moderate,7,8,585,0.6716053205472402
Site 2168,15.050589662580109,-97.92226796644664,Forest,0.7765189219948005,False,506,48,Loam,52,29.483945007173894,High,8,6,714,0.6956715506666293
Site 2169,37.04710248301736,-111.630874281265,Wetland,0.8243609400774528,False,3204,9,Rocky,132,-5.218639660848434,High,6,6,893,0.2110429285415541
Site 2170,23.00416061726796,-113.07648447642228,Grassland,0.6950979836249511,True,1294,12,Clay,59,0.8970035581370226,Moderate,7,6,911,0.3833964675761765
Site 2171,37.4530878674439,-96.18901210092346,Mountain,0.7492724391656467,False,621,14,Clay,76,17.298165121796167,Moderate,7,6,292,0.7738308917094411
Site 2172,12.78564592649623,-67.92179223717285,Forest,0.937826693837293,False,3144,8,Loam,61,-0.5075196359419643,Low,4,7,759,0.6853305242381141
Site 2173,16.995257487038376,-103.51566928221472,Mountain,0.5542815723514047,False,1951,26,Loam,58,-8.794099379343908,High,4,6,79,0.17951350314347342
Site 2174,44.22949035623145,-77.51919772515197,Wetland,0.8958664464998265,False,1459,7,Loam,55,-5.607735042081381,Moderate,1,8,530,0.38363282694805767
Site 2175,19.087182280940596,-123.2226888308947,Grassland,0.5853772754980981,True,3929,5,Rocky,77,7.345077098339207,High,2,7,768,0.9381899344328323
Site 2176,43.4816450097176,-96.67603084942567,Wetland,0.5183539914023142,False,292,35,Sandy,46,7.231386084907754,Low,3,2,270,0.8758113902950972
Site 2177,21.171043538176416,-60.581970172508505,Mountain,0.5927873013725239,False,654,49,Rocky,137,28.89218762507565,Moderate,5,4,615,0.70357856732157
Site 2178,35.71527640234831,-76.0693538045364,Wetland,0.8825215949852449,True,2984,23,Sandy,23,8.6380013559107,High,9,7,420,0.16557743848278764
Site 2179,37.76602294039324,-115.2630058091571,Mountain,0.70256303666843,False,3843,2,Sandy,28,17.12270829873973,Low,5,2,127,0.6463496679289471
Site 2180,30.506190125802117,-94.89909684114625,Forest,0.936260258423091,True,2804,25,Clay,134,9.688040068533756,Moderate,6,4,169,0.11096931865565639
Site 2181,22.21242706786925,-113.64626654460034,Forest,0.762353770591133,False,3508,35,Rocky,94,0.7967399565130648,High,7,2,842,0.695013764652724
Site 2182,18.505775054843845,-101.33073509162435,Wetland,0.5111251759631654,True,3043,20,Rocky,144,-5.781957395415995,Low,4,2,798,0.7580903941058995
Site 2183,11.327574182497049,-75.39411833855246,Forest,0.8583568048009633,False,3923,12,Loam,93,24.362960643595876,Low,8,7,559,0.5475192576440432
Site 2184,22.157856049628954,-76.01426292967174,Mountain,0.5551164543606164,True,2714,10,Rocky,24,-3.893492222590993,High,6,2,942,0.10342597996091678
Site 2185,36.126511621251325,-114.03297354683303,Forest,0.8946898167309623,False,3732,7,Sandy,35,-6.124255363085371,Moderate,1,4,822,0.6999491065634998
Site 2186,47.532192737939305,-65.4443677291598,Grassland,0.58405127490259,True,2107,45,Sandy,70,-1.4468555588383758,High,6,7,563,0.8377660769850196
Site 2187,44.84817929052208,-88.52022720646212,Grassland,0.6727231929027567,True,1621,45,Rocky,119,-9.900454430602386,Low,2,6,416,0.6272807211830554
Site 2188,40.642591061412105,-103.40529963265898,Wetland,0.8806357148126802,True,3775,47,Clay,49,-7.1213940070002835,Low,4,4,129,0.7382777542585827
Site 2189,41.53789373013195,-94.86450934533975,Wetland,0.9771156787382108,True,2374,13,Clay,127,15.407870737364192,Moderate,4,9,408,0.181289223389953
Site 2190,36.59939613903981,-87.64501225935794,Wetland,0.6857169753233662,True,3253,32,Loam,40,-0.25809572568419625,High,5,5,240,0.7437896665085657
Site 2191,20.41147430264012,-90.80766277079502,Wetland,0.9147001100994678,False,2846,1,Loam,24,3.540483825676839,Moderate,2,2,685,0.6527736658374538
Site 2192,46.28780122823319,-95.95164751246753,Mountain,0.5953961327379194,False,784,0,Sandy,135,23.411990193987712,Moderate,6,7,743,0.3979177525277511
Site 2193,36.82929247623336,-94.654703713742,Mountain,0.9035898851012456,True,766,10,Rocky,55,20.915983317555252,Low,3,2,983,0.7168005957743332
Site 2194,32.4176252392176,-117.65116627004797,Grassland,0.8287470296281255,True,3505,5,Sandy,83,9.689924041494514,High,9,8,685,0.681024594168478
Site 2195,14.439578768539242,-73.10869669867245,Mountain,0.5963717536061842,False,518,31,Sandy,67,14.519066330417093,High,6,7,66,0.6395142159990228
Site 2196,27.882221752257017,-92.07677760412892,Forest,0.6512519801757057,False,2685,14,Rocky,20,-6.567548862391148,Low,3,9,80,0.26465086298478047
Site 2197,28.41433084807705,-120.82440968067078,Grassland,0.565885444298518,True,2130,11,Sandy,90,20.463788059254316,Low,3,6,946,0.36659955228283403
Site 2198,44.582544380906796,-76.36900288920555,Wetland,0.6914835055321567,False,27,36,Sandy,9,10.647658667810084,High,5,7,183,0.9922444945891614
Site 2199,31.865928807511537,-64.72892151358545,Wetland,0.6018243205616387,True,265,28,Clay,86,12.837964077705095,Moderate,6,9,272,0.4897982566554576
Site 2200,25.216021958816384,-63.68851705341265,Mountain,0.8219989768152367,True,1306,43,Loam,32,16.62107861745364,Moderate,4,7,119,0.15348387119944246
Site 2201,49.07201314042637,-104.1687587312179,Grassland,0.9972525521102793,True,2444,21,Clay,104,10.00701196410855,High,5,9,853,0.909104779732445
Site 2202,14.428823733052628,-120.51381885074721,Mountain,0.5060045815421321,False,3009,45,Loam,82,10.8677052076103,Moderate,3,8,441,0.25563887868247026
Site 2203,26.901937132477784,-93.71202613568545,Mountain,0.7704599066436493,True,2810,13,Loam,3,9.985423472915109,Moderate,4,5,142,0.4631678375175968
Site 2204,11.680987006856212,-122.11735394555456,Mountain,0.7868332987745048,False,979,18,Loam,22,9.872699125742812,Low,8,7,122,0.3501990221148973
Site 2205,39.59616483067721,-64.6208807041168,Grassland,0.9571043948404059,False,1723,4,Clay,52,20.00821202833292,Moderate,8,7,187,0.9674879078455867
Site 2206,46.72306208796603,-117.14942608513978,Wetland,0.7530026673834688,False,3454,34,Rocky,112,7.088341087232003,Low,1,1,73,0.4402887210188179
Site 2207,21.201493182019576,-112.30638980341851,Forest,0.7718507098224587,False,810,24,Sandy,132,-9.884267260130514,Moderate,4,4,496,0.7378452675193196
Site 2208,44.33366707196483,-101.53544311805207,Wetland,0.7358264006641944,True,580,49,Rocky,17,14.482527044875283,High,2,5,217,0.6385446747388629
Site 2209,21.68872921847591,-103.1784872008612,Grassland,0.6344521522807407,True,3390,37,Rocky,16,28.10649899705134,Low,4,6,819,0.13867765444166824
Site 2210,46.43080646575661,-74.37359753214777,Wetland,0.5280145666244569,False,1861,8,Loam,106,0.2783932316625979,High,5,7,325,0.4458832106497066
Site 2211,40.158476143871354,-98.05782256143263,Wetland,0.704328841104918,True,610,6,Loam,112,22.64773324688666,Low,1,5,338,0.4510197663457266
Site 2212,42.19627107365754,-118.04622179976641,Forest,0.5262957356203393,False,192,17,Clay,121,8.219608331323201,Moderate,5,2,63,0.9908499928640605
Site 2213,10.72026222401818,-111.29530731597481,Wetland,0.775246234732959,True,2274,1,Clay,86,15.719282796322403,High,7,5,529,0.8307358309526953
Site 2214,48.51241428296104,-94.36206303687345,Wetland,0.6536468216211466,True,450,9,Sandy,1,25.634949245095413,Low,5,5,487,0.8709888485093695
Site 2215,39.066839682812926,-119.67822578017055,Wetland,0.7668012007627139,True,1205,43,Rocky,120,20.84054451193094,High,7,7,104,0.38216905301905724
Site 2216,22.190043815445332,-87.18410270477901,Mountain,0.5671484821975934,True,931,1,Rocky,102,25.382935537672324,High,9,3,342,0.39614915360200587
Site 2217,43.17578659435388,-90.3976885414198,Grassland,0.9663149828696798,True,1350,44,Sandy,148,-9.619200844952758,Moderate,8,1,777,0.564045137592201
Site 2218,21.260847936597198,-79.97083785324196,Grassland,0.9472606217749675,True,1628,7,Loam,52,-2.5074006142659577,Low,1,6,410,0.667913619455592
Site 2219,44.910153582645115,-64.36067692344426,Forest,0.5949982546011423,False,2702,6,Clay,147,6.939776502632363,Moderate,2,7,133,0.7554641393035297
Site 2220,14.50321561647748,-66.14218072291911,Mountain,0.6717221416470049,True,202,34,Sandy,49,23.91367189812413,High,6,8,418,0.8387216702075693
Site 2221,38.14743909843183,-63.77470673518181,Mountain,0.8067463859259898,True,401,22,Rocky,59,23.53567728694108,Low,5,7,951,0.8858819974064988
Site 2222,31.62793906579641,-112.86990820834093,Wetland,0.5478431036529532,True,2027,7,Sandy,113,-2.594386721042099,High,1,7,210,0.12216331975063678
Site 2223,13.861378807817633,-120.79042853524518,Grassland,0.6772839105580755,False,1667,20,Sandy,107,-4.310302676171145,High,2,7,945,0.8164862947467402
Site 2224,19.67575313035356,-108.84063096524861,Forest,0.625556143409503,True,2519,32,Rocky,38,23.388097407861295,Low,3,1,355,0.6497532908137303
Site 2225,10.496161451092592,-67.34403790635798,Mountain,0.9577583643583483,True,3850,46,Rocky,70,11.657371761230184,High,5,9,525,0.5788763015207228
Site 2226,28.750718618580233,-61.95625677635583,Wetland,0.9262553181446026,True,1669,0,Clay,127,15.07079023478304,Low,7,9,508,0.6656197031725003
Site 2227,22.050610430400013,-69.84725342506667,Forest,0.7899163706334319,False,889,11,Clay,32,22.368242986623194,Low,6,7,789,0.8937444211922695
Site 2228,33.934299371910356,-122.29875952107194,Mountain,0.7601731684357871,True,178,10,Rocky,73,-1.5301414565135296,Low,3,9,645,0.5907618048768077
Site 2229,21.88951230834469,-63.68004013581448,Forest,0.9653628972726986,False,1721,47,Clay,9,-4.540608003810398,High,6,4,759,0.2459692053090705
Site 2230,21.996764460279387,-100.36493808544498,Mountain,0.9662138914894076,False,1979,29,Clay,130,24.361770511366238,Moderate,4,7,249,0.493099435175806
Site 2231,39.727727949264136,-129.34827964663523,Forest,0.9846650626758302,True,3089,3,Clay,108,-5.529035763351868,High,3,2,384,0.9320135802032903
Site 2232,11.925713439134139,-99.03243814762645,Mountain,0.5626894420540938,True,2510,33,Rocky,26,-6.472765972156944,High,4,6,391,0.8330353812165291
Site 2233,46.11579980767949,-126.77515812271727,Mountain,0.5802789053815851,False,2882,22,Loam,26,1.0830070246684098,Low,8,2,228,0.282741041273438
Site 2234,44.09055497564726,-91.92854551872176,Forest,0.8383683493399433,False,3984,31,Loam,110,2.6739544080297417,Moderate,1,3,499,0.7427293756956708
Site 2235,36.71218732905626,-106.30121807940641,Mountain,0.7707172383049224,True,2656,2,Clay,8,-0.3545858379519373,Low,3,1,750,0.3306040493403084
Site 2236,33.728862804295375,-96.85955464841658,Mountain,0.5092329524466179,True,1569,27,Loam,5,19.664930900008628,High,8,7,205,0.4136832972912502
Site 2237,45.69209992558609,-87.07807474798182,Mountain,0.5309875179947596,False,925,3,Clay,133,28.93416451171958,Moderate,9,2,789,0.522025627578224
Site 2238,17.41320718114858,-69.18392329275258,Forest,0.9440401911294025,False,1426,49,Loam,25,-2.016346291014628,Low,3,3,917,0.49678266507462254
Site 2239,13.158766487633144,-83.66688964696499,Forest,0.9344353977696931,False,2044,11,Loam,42,21.274087581285865,High,9,1,221,0.12635184401212987
Site 2240,19.580406796381524,-99.61657920652735,Mountain,0.6786354609980225,False,1416,23,Sandy,18,-8.230311589275328,High,4,3,445,0.7966083024821489
Site 2241,41.78313114800761,-72.64005024307444,Mountain,0.9455253084652673,True,2983,32,Clay,15,-5.243893583247159,Moderate,4,4,260,0.8617473947516019
Site 2242,11.386810669059333,-66.60925036988075,Forest,0.7968375371989509,False,2347,2,Loam,104,10.604696679158497,High,7,7,618,0.5778489157113963
